subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
14,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-05T15:27:34.620138,2025-08-05T15:28:52.894669,78.274531,6,3,0,486,False,False,False
14,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-05T15:28:58.358669,2025-08-05T15:30:18.386934,80.028265,13,2,0,486,False,False,False
14,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-05T15:30:24.595754,2025-08-05T15:31:44.782793,80.187039,14,3,0,486,False,False,False
14,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-05T15:33:06.756168,2025-08-05T15:34:16.026189,69.270021,15,2,0,427,True,False,False
14,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-05T15:35:42.637177,2025-08-05T15:36:33.569667,50.93249,15,2,0,307,True,False,False
14,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-05T15:38:48.209147,2025-08-05T15:39:48.533578,60.324431,15,2,0,373,True,False,False
14,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-05T15:40:39.509176,2025-08-05T15:41:47.615411,68.106235,15,2,0,429,True,False,False
14,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-05T15:41:52.895178,2025-08-05T15:43:00.894176,67.998998,15,2,0,425,True,False,False
14,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-05T15:43:01.156669,2025-08-05T15:43:54.144668,52.987999,15,2,0,318,True,False,False
14,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-05T15:44:10.143665,2025-08-05T15:44:47.538178,37.394513,15,2,0,223,True,False,False
14,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-05T15:45:44.293174,2025-08-05T15:46:43.895849,59.602675,15,2,0,369,True,False,False
14,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-05T15:46:54.747668,2025-08-05T15:47:48.554361,53.806693,15,2,0,330,True,False,False
14,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-05T15:48:04.207166,2025-08-05T15:48:55.557354,51.350188,15,2,0,311,True,False,False
14,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-05T15:49:07.718676,2025-08-05T15:50:06.482933,58.764257,15,2,0,363,True,False,False
14,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-05T15:50:12.285048,2025-08-05T15:51:15.160332,62.875284,15,2,0,389,True,False,False
14,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-05T15:51:24.614169,2025-08-05T15:52:19.030330,54.416161,15,2,0,333,True,False,False
14,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-05T15:52:24.157675,2025-08-05T15:53:12.569175,48.4115,15,2,0,292,True,False,False
14,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-05T15:53:21.685321,2025-08-05T15:54:16.235168,54.549847,15,2,0,336,True,False,False
