subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
33,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T14:35:03.844260,2025-08-08T14:36:24.419157,80.574897,13,2,0,486,False,False,False
33,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T14:36:28.226753,2025-08-08T14:37:39.791288,71.564535,15,2,0,434,True,False,False
33,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T14:37:44.339252,2025-08-08T14:38:44.954111,60.614859,15,2,0,361,True,False,False
33,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T14:39:02.415342,2025-08-08T14:40:18.740737,76.325395,15,2,0,463,True,False,False
33,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T14:40:46.689751,2025-08-08T14:41:33.935252,47.245501,15,2,0,276,True,False,False
33,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T14:41:53.708253,2025-08-08T14:42:49.437884,55.729631,15,3,0,330,True,False,False
33,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T14:43:09.784752,2025-08-08T14:44:24.066441,74.281689,15,2,0,456,True,False,False
33,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T14:44:29.351636,2025-08-08T14:45:33.289124,63.937488,15,2,0,386,True,False,False
33,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T14:45:33.539121,2025-08-08T14:46:40.501129,66.962008,15,2,0,402,True,False,False
33,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T14:46:57.444763,2025-08-08T14:47:34.201038,36.756275,15,2,0,211,True,False,False
33,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T14:47:49.484474,2025-08-08T14:48:36.174745,46.690271,15,2,0,274,True,False,False
33,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T14:48:40.662254,2025-08-08T14:49:33.320134,52.65788,15,2,0,311,True,False,False
33,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T14:49:54.255262,2025-08-08T14:50:44.853752,50.59849,15,2,0,300,True,False,False
33,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T14:50:54.365753,2025-08-08T14:51:56.575908,62.210155,15,3,0,371,True,False,False
33,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T14:52:13.191254,2025-08-08T14:53:20.983252,67.791998,15,2,0,408,True,False,False
33,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T14:53:23.449348,2025-08-08T14:54:03.584826,40.135478,15,2,0,232,True,False,False
33,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T14:54:06.390250,2025-08-08T14:54:54.607061,48.216811,15,2,0,285,True,False,False
33,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T14:55:04.238191,2025-08-08T14:55:52.113757,47.875566,15,2,0,281,True,False,False
