subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
31,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T13:07:22.137725,2025-08-08T13:08:41.946883,79.809158,13,2,0,486,False,False,False
31,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T13:08:46.251761,2025-08-08T13:09:49.518038,63.266277,15,2,0,388,True,False,False
31,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T13:09:56.061762,2025-08-08T13:10:54.984865,58.923103,15,2,0,354,True,False,False
31,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T13:11:34.910576,2025-08-08T13:12:43.721298,68.810722,15,2,0,420,True,False,False
31,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T13:13:37.115700,2025-08-08T13:14:23.692196,46.576496,15,2,0,276,True,False,False
31,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T13:14:57.765252,2025-08-08T13:15:59.714618,61.949366,15,2,0,374,True,False,False
31,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T13:16:40.353752,2025-08-08T13:17:45.709331,65.355579,15,2,0,401,True,False,False
31,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T13:17:50.425753,2025-08-08T13:19:06.965261,76.539508,15,2,0,471,True,False,False
31,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T13:19:07.243762,2025-08-08T13:20:09.325681,62.081919,15,2,0,371,True,False,False
31,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T13:20:27.263762,2025-08-08T13:21:14.644226,47.380464,15,2,0,280,True,False,False
31,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T13:21:45.233752,2025-08-08T13:22:32.344981,47.111229,15,2,0,277,True,False,False
31,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T13:22:36.138569,2025-08-08T13:23:26.237752,50.099183,15,2,0,296,True,False,False
31,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T13:24:14.965623,2025-08-08T13:25:15.339717,60.374094,15,2,0,362,True,False,False
31,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T13:25:40.755761,2025-08-08T13:26:41.657760,60.901999,15,2,0,366,True,False,False
31,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T13:27:14.559499,2025-08-08T13:28:06.599684,52.040185,15,2,0,306,True,False,False
31,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T13:28:09.566254,2025-08-08T13:28:49.904789,40.338535,15,2,0,233,True,False,False
31,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T13:28:52.366760,2025-08-08T13:29:40.732848,48.366088,15,2,0,285,True,False,False
31,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T13:30:04.007910,2025-08-08T13:31:02.226340,58.21843,15,2,0,349,True,False,False
