subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
41,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T17:26:15.001130,2025-08-11T17:27:46.546399,91.545269,1,1,0,486,False,False,False
41,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T17:27:52.087527,2025-08-11T17:29:18.972040,86.884513,2,3,0,486,False,False,False
41,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T17:29:27.528030,2025-08-11T17:30:57.190321,89.662291,15,3,0,442,True,False,False
41,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T17:31:24.293530,2025-08-11T17:33:02.265854,97.972324,14,4,0,486,False,True,False
41,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T17:33:56.356522,2025-08-11T17:35:14.785423,78.428901,15,4,0,345,False,True,False
41,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T17:36:02.184022,2025-08-11T17:37:03.095167,60.911145,15,2,0,262,True,False,False
41,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T17:37:52.896535,2025-08-11T17:39:30.526519,97.629984,11,2,0,486,False,False,False
41,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T17:39:33.662531,2025-08-11T17:41:11.289522,97.626991,14,2,0,486,False,False,False
41,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T17:41:11.704521,2025-08-11T17:42:04.934059,53.229538,15,3,0,244,True,False,False
41,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T17:42:18.546522,2025-08-11T17:43:17.312972,58.76645,15,2,0,360,True,False,False
41,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T17:43:38.587120,2025-08-11T17:44:42.483327,63.896207,15,2,0,288,True,False,False
41,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T17:44:46.284449,2025-08-11T17:45:57.866594,71.582145,15,2,0,333,True,False,False
41,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T17:46:28.469999,2025-08-11T17:47:55.911812,87.441813,15,2,0,415,True,False,False
41,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T17:48:07.037524,2025-08-11T17:49:13.323810,66.286286,15,2,0,292,True,False,False
41,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T17:49:37.920022,2025-08-11T17:51:01.469272,83.54925,15,2,0,384,True,False,False
41,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T17:51:04.767033,2025-08-11T17:52:03.913892,59.146859,15,2,0,259,True,False,False
41,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T17:52:06.709132,2025-08-11T17:53:22.713031,76.003899,15,2,0,362,True,False,False
41,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T17:53:35.172533,2025-08-11T17:54:50.490814,75.318281,15,2,0,341,True,False,False
