subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
18,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-06T10:16:28.281513,2025-08-06T10:17:49.496942,81.215429,13,2,0,486,False,False,False
18,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-06T10:17:53.141520,2025-08-06T10:18:52.295511,59.153991,15,2,0,352,True,False,False
18,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-06T10:18:54.843996,2025-08-06T10:19:49.646521,54.802525,15,2,0,323,True,False,False
18,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-06T10:20:02.760512,2025-08-06T10:20:56.642032,53.88152,15,2,0,317,True,False,False
18,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-06T10:21:11.280915,2025-08-06T10:22:01.493066,50.212151,15,2,0,291,True,False,False
18,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-06T10:22:13.800012,2025-08-06T10:23:12.293651,58.493639,15,2,0,342,True,False,False
18,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-06T10:23:28.214012,2025-08-06T10:24:33.139421,64.925409,15,2,0,392,True,False,False
18,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-06T10:24:36.737419,2025-08-06T10:25:37.370960,60.633541,15,2,0,362,True,False,False
18,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-06T10:25:37.613021,2025-08-06T10:26:34.713389,57.100368,15,2,0,336,True,False,False
18,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-06T10:26:46.170966,2025-08-06T10:27:19.471511,33.300545,15,2,0,188,True,False,False
18,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-06T10:27:31.107013,2025-08-06T10:28:17.504796,46.397783,15,2,0,267,True,False,False
18,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-06T10:28:24.470533,2025-08-06T10:29:05.149259,40.678726,15,2,0,232,True,False,False
18,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-06T10:29:13.957512,2025-08-06T10:30:10.534663,56.577151,15,2,0,333,True,False,False
18,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-06T10:30:20.338012,2025-08-06T10:31:27.623737,67.285725,15,2,0,400,True,False,False
18,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-06T10:31:31.764034,2025-08-06T10:32:35.477210,63.713176,15,2,0,375,True,False,False
18,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-06T10:32:50.092014,2025-08-06T10:33:30.083222,39.991208,15,2,0,230,True,False,False
18,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-06T10:33:32.882012,2025-08-06T10:34:40.042008,67.159996,15,3,0,395,True,False,False
18,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-06T10:34:52.833752,2025-08-06T10:35:48.479593,55.645841,15,2,0,329,True,False,False
