Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      187    0.005    0.000    0.150    0.001 cbook.py:998(_combine_masks)
       19    0.001    0.000    0.001    0.000 __init__.py:748(__setitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:212(_get_version)
        1    0.000    0.000    0.003    0.003 warnings.py:35(_formatwarnmsg_impl)
   164941    0.131    0.000    0.304    0.000 __init__.py:778(__getitem__)
        1    0.000    0.000    0.000    0.000 functools.py:735(_compose_mro)
       27    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
     1162    0.002    0.000    0.063    0.000 __init__.py:280(_compile)
       18    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
      373    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
       34    0.000    0.000    0.039    0.001 _parser.py:969(parse)
      754    0.004    0.000    0.005    0.000 copyreg.py:107(_slotnames)
   402/75    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
       48    0.000    0.000    0.001    0.000 _compiler.py:243(_optimize_charset)
       18    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.000    0.000 enum.py:862(_create_)
       32    0.001    0.000    0.007    0.000 enum.py:528(__new__)
       32    0.000    0.000    0.000    0.000 enum.py:985(_find_data_repr_)
       65    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
       32    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
       48    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      260    0.002    0.000    0.003    0.000 enum.py:390(__setitem__)
      138    0.002    0.000    0.004    0.000 enum.py:254(__set_name__)
      365    0.001    0.000    0.005    0.000 inspect.py:2830(__str__)
      782    0.004    0.000    0.005    0.000 arrayprint.py:1018(__call__)
   361/34    0.009    0.000    0.019    0.001 _compiler.py:37(_compile)
       34    0.000    0.000    0.060    0.002 _compiler.py:745(compile)
        1    0.000    0.000    0.000    0.000 functools.py:803(singledispatch)
        1    0.000    0.000    0.023    0.023 functools.py:982(__get__)
       34    0.000    0.000    0.001    0.000 _compiler.py:516(_compile_info)
       33    0.003    0.000    0.007    0.000 __init__.py:298(__init__)
       22    0.000    0.000    0.000    0.000 traceback.py:460(format_frame_summary)
       29    0.001    0.000    0.067    0.002 traceback.py:399(_extract_from_extended_frame_gen)
    37/31    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
172401/170290    0.400    0.000    1.370    0.000 contextlib.py:141(__exit__)
        8    0.000    0.000    0.000    0.000 threading.py:884(__init__)
      103    0.002    0.000    0.002    0.000 linecache.py:152(lazycache)
        2    0.000    0.000    0.001    0.000 traceback.py:525(format)
   285/35    0.013    0.000    0.039    0.001 _parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        3    0.000    0.000    0.000    0.000 _parser.py:996(parse_template)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       58    0.001    0.000    0.012    0.000 textwrap.py:419(dedent)
       24    0.000    0.000    0.074    0.003 linecache.py:83(updatecache)
        3    0.000    0.000    0.000    0.000 parse.py:978(urlencode)
     1564    0.018    0.000    0.025    0.000 arraysetops.py:323(_unique1d)
     2869    0.004    0.000    0.007    0.000 tokenize.py:577(_generate_tokens_from_c_tokenizer)
       72    0.000    0.000    0.000    0.000 tokenize.py:390(find_cookie)
       36    0.000    0.000    0.059    0.002 __init__.py:226(compile)
        6    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
       80    0.000    0.000    0.000    0.000 enum.py:183(__init__)
      138    0.000    0.000    0.000    0.000 enum.py:251(__init__)
     3264    0.002    0.000    0.002    0.000 enum.py:1286(name)
     2978    0.001    0.000    0.001    0.000 enum.py:1291(value)
    50510    0.050    0.000    0.077    0.000 enum.py:720(__call__)
