subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
39,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T15:05:59.130304,2025-08-11T15:07:18.941988,79.811684,8,2,0,486,False,False,False
39,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T15:07:23.250029,2025-08-11T15:08:30.387463,67.137434,15,2,0,405,True,False,False
39,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T15:08:34.268532,2025-08-11T15:09:41.233993,66.965461,15,2,0,398,True,False,False
39,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T15:10:03.127017,2025-08-11T15:11:04.716108,61.589091,15,2,0,374,True,False,False
39,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T15:11:50.787027,2025-08-11T15:12:41.725271,50.938244,15,2,0,302,True,False,False
39,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T15:13:13.884178,2025-08-11T15:14:01.397019,47.512841,15,2,0,277,True,False,False
39,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T15:14:31.056684,2025-08-11T15:15:47.043880,75.987196,15,2,0,473,True,False,False
39,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-11T15:15:50.682355,2025-08-11T15:16:54.591362,63.909007,15,2,0,386,True,False,False
39,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T15:16:54.845907,2025-08-11T15:17:50.919521,56.073614,15,3,0,332,True,False,False
39,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T15:18:05.098031,2025-08-11T15:18:42.356015,37.257984,15,2,0,215,True,False,False
39,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T15:19:00.642520,2025-08-11T15:19:50.675255,50.032735,15,2,0,295,True,False,False
39,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T15:19:53.641266,2025-08-11T15:20:50.109089,56.467823,15,2,0,335,True,False,False
39,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T15:21:25.882532,2025-08-11T15:22:32.347299,66.464767,15,2,0,400,True,False,False
39,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T15:22:45.907992,2025-08-11T15:23:44.012522,58.10453,15,2,0,351,True,False,False
39,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T15:24:18.757531,2025-08-11T15:25:25.177070,66.419539,15,3,0,396,True,False,False
39,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-11T15:25:28.094232,2025-08-11T15:26:08.141653,40.047421,15,2,0,235,True,False,False
39,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-11T15:26:10.440018,2025-08-11T15:27:01.306757,50.866739,15,2,0,301,True,False,False
39,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-11T15:27:17.124897,2025-08-11T15:28:09.481151,52.356254,15,2,0,314,True,False,False
