subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
27,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T15:22:12.532505,2025-08-07T15:23:33.229516,80.697011,10,2,0,486,False,False,False
27,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T15:23:47.345005,2025-08-07T15:24:54.235342,66.890337,15,2,0,406,True,False,False
27,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T15:25:01.769384,2025-08-07T15:26:19.005503,77.236119,15,2,0,465,True,False,False
27,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T15:26:44.613010,2025-08-07T15:27:49.051084,64.438074,15,2,0,387,True,False,False
27,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T15:28:51.742004,2025-08-07T15:29:42.194370,50.452366,15,2,0,296,True,False,False
27,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T15:30:08.606735,2025-08-07T15:30:57.973765,49.36703,15,2,0,290,True,False,False
27,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T15:31:21.311504,2025-08-07T15:32:42.337017,81.025513,12,2,0,486,False,False,False
27,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T15:32:45.139503,2025-08-07T15:33:44.712935,59.573432,15,2,0,357,True,False,False
27,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T15:33:44.956342,2025-08-07T15:34:45.545872,60.58953,15,2,0,359,True,False,False
27,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T15:35:00.315504,2025-08-07T15:35:51.863631,51.548127,15,2,0,306,True,False,False
27,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T15:36:10.296410,2025-08-07T15:37:07.595849,57.299439,15,2,0,341,True,False,False
27,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T15:37:10.563273,2025-08-07T15:37:53.798079,43.234806,15,2,0,250,True,False,False
27,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T15:38:13.060014,2025-08-07T15:39:06.772504,53.71249,15,2,0,316,True,False,False
27,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T15:39:25.370227,2025-08-07T15:40:34.925997,69.55577,15,3,0,415,True,False,False
27,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T15:40:54.023015,2025-08-07T15:42:10.422004,76.398989,15,2,0,460,True,False,False
27,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T15:42:13.388513,2025-08-07T15:42:58.472251,45.083738,15,2,0,263,True,False,False
27,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T15:43:00.605001,2025-08-07T15:43:47.973904,47.368903,15,2,0,275,True,False,False
27,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T15:44:07.897026,2025-08-07T15:45:03.198651,55.301625,15,2,0,329,True,False,False
