subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
35,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T16:42:18.480262,2025-08-08T16:43:35.052025,76.571763,15,2,0,472,True,False,False
35,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T16:43:50.148252,2025-08-08T16:44:50.890830,60.742578,15,2,0,369,True,False,False
35,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T16:45:08.551252,2025-08-08T16:46:19.074968,70.523716,15,2,0,426,True,False,False
35,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T16:46:45.813752,2025-08-08T16:48:01.218752,75.405,15,2,0,458,True,False,False
35,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T16:48:49.405251,2025-08-08T16:49:39.373840,49.968589,15,2,0,294,True,False,False
35,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T16:50:03.940254,2025-08-08T16:51:07.553752,63.613498,15,2,0,372,True,False,False
35,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T16:51:47.993260,2025-08-08T16:52:55.159851,67.166591,15,2,0,408,True,False,False
35,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-08T16:52:58.097752,2025-08-08T16:54:02.349387,64.251635,15,2,0,388,True,False,False
35,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T16:54:02.607389,2025-08-08T16:55:02.234763,59.627374,15,2,0,355,True,False,False
35,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T16:55:20.643754,2025-08-08T16:55:56.389449,35.745695,15,2,0,204,True,False,False
35,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T16:56:18.466752,2025-08-08T16:57:02.600602,44.13385,15,2,0,256,True,False,False
35,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T16:57:04.894751,2025-08-08T16:57:50.036563,45.141812,15,2,0,262,True,False,False
35,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T16:58:27.245262,2025-08-08T16:59:29.251849,62.006587,15,2,0,370,True,False,False
35,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T16:59:47.014740,2025-08-08T17:00:52.397753,65.383013,15,2,0,392,True,False,False
35,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T17:01:26.942750,2025-08-08T17:02:30.365729,63.422979,15,2,0,377,True,False,False
35,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-08T17:02:32.498722,2025-08-08T17:03:09.656756,37.158034,15,2,0,209,True,False,False
35,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-08T17:03:11.291763,2025-08-08T17:03:55.836774,44.545011,15,2,0,258,True,False,False
35,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-08T17:04:10.100252,2025-08-08T17:04:54.231253,44.131001,15,2,0,257,True,False,False
