subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
29,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T17:34:29.312990,2025-08-07T17:35:50.635502,81.322512,13,4,0,486,False,True,False
29,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T17:35:55.453126,2025-08-07T17:37:17.570729,82.117603,13,2,0,486,False,False,False
29,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T17:37:29.288001,2025-08-07T17:38:51.948504,82.660503,14,2,0,486,False,False,False
29,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T17:39:09.430509,2025-08-07T17:40:32.402206,82.971697,13,3,0,486,False,False,False
29,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T17:41:38.105514,2025-08-07T17:42:45.440079,67.334565,15,2,0,397,True,False,False
29,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T17:43:06.537390,2025-08-07T17:44:01.250013,54.712623,15,2,0,320,True,False,False
29,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T17:44:30.062524,2025-08-07T17:45:37.872585,67.810061,15,2,0,407,True,False,False
29,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T17:45:40.312004,2025-08-07T17:46:40.213504,59.9015,15,2,0,357,True,False,False
29,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T17:46:40.456515,2025-08-07T17:47:33.726004,53.269489,15,2,0,308,True,False,False
29,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T17:47:53.499344,2025-08-07T17:48:29.545056,36.045712,15,2,0,204,True,False,False
29,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T17:49:17.255504,2025-08-07T17:50:23.377602,66.122098,15,2,0,393,True,False,False
29,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T17:50:32.671504,2025-08-07T17:51:23.997295,51.325791,15,3,0,296,True,False,False
29,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T17:51:47.090514,2025-08-07T17:52:41.498941,54.408427,15,3,0,318,True,False,False
29,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T17:52:57.439501,2025-08-07T17:54:01.266833,63.827332,15,3,0,376,True,False,False
29,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T17:54:24.205909,2025-08-07T17:55:25.250710,61.044801,15,2,0,357,True,False,False
29,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T17:55:30.210505,2025-08-07T17:56:09.925330,39.714825,15,2,0,225,True,False,False
29,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T17:56:13.556005,2025-08-07T17:57:04.208504,50.652499,15,2,0,294,True,False,False
29,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T17:57:16.485642,2025-08-07T17:58:32.275673,75.790031,15,2,0,456,True,False,False
