subject_id,config,agent_type,level,agent_model_name,episode_start_time,episode_end_time,episode_duration_seconds,final_targets_identified,final_threats_identified,total_detections,total_timesteps,all_targets_identified,all_threats_identified,mission_success
24,P1,P,1,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:02:39.126505,2025-08-07T13:03:59.616017,80.489512,9,3,0,486,False,False,False
24,P4,P,4,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:04:02.256004,2025-08-07T13:05:24.103530,81.847526,6,4,0,486,False,True,False
24,A1,A,1,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:05:26.489011,2025-08-07T13:06:41.844679,75.355668,15,3,0,450,True,False,False
24,B1,B,1,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:07:08.125757,2025-08-07T13:08:08.061505,59.935748,15,3,0,356,True,False,False
24,C1,C,1,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:08:48.469503,2025-08-07T13:09:45.243005,56.773502,15,4,0,324,False,True,False
24,A3,A,3,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:10:03.529005,2025-08-07T13:11:18.536192,75.007187,15,4,0,439,False,True,False
24,S3,S,3,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:11:51.346464,2025-08-07T13:13:13.463162,82.116698,14,4,0,486,False,True,False
24,S7,S,7,./user_study/saved_agents/bad_practice_agent_model.zip,2025-08-07T13:13:16.105012,2025-08-07T13:14:22.598013,66.493001,15,2,0,401,True,False,False
24,B3,B,3,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:14:22.858087,2025-08-07T13:15:16.915845,54.057758,15,2,0,317,True,False,False
24,C3,C,3,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:15:36.188501,2025-08-07T13:16:17.215515,41.027014,15,2,0,236,True,False,False
24,A4,A,4,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:16:42.145500,2025-08-07T13:17:39.031009,56.885509,15,2,0,336,True,False,False
24,B4,B,4,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:17:52.639000,2025-08-07T13:18:37.965013,45.326013,15,2,0,263,True,False,False
24,C5,C,5,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:18:47.755557,2025-08-07T13:19:41.377657,53.6221,15,2,0,315,True,False,False
24,A5,A,5,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:19:58.320515,2025-08-07T13:21:05.107395,66.78688,15,2,0,400,True,False,False
24,B5,B,5,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:21:10.504004,2025-08-07T13:22:13.612511,63.108507,15,3,0,372,True,False,False
24,C7,C,7,./user_study/saved_agents/aug2b_mixed75_35e5steps_model.zip,2025-08-07T13:22:30.388013,2025-08-07T13:23:25.560879,55.172866,15,2,0,326,True,False,False
24,A7,A,7,./user_study/saved_agents/aug2b_finetuned_model.zip,2025-08-07T13:23:28.688503,2025-08-07T13:24:22.252537,53.564034,15,2,0,315,True,False,False
24,B7,B,7,./user_study/saved_agents/aug2b_baseline_model.zip,2025-08-07T13:24:34.031004,2025-08-07T13:25:26.182011,52.151007,15,2,0,308,True,False,False
