Agent_Name,Mean_MSE,Std_MSE,N_Comparisons,Diff_from_Overall,Worse_than_Overall,P_Value,Significant_Diff
high-very_noisy_True_clusters_fast,171610.33331187032,63078.426814763254,640,7648.541762854351,True,0.007014043269946532,True
high-very_noisy_False_clusters_fast,171610.33331187032,63078.426814763254,640,7648.541762854351,True,0.007014043269946532,True
high-very_noisy_True_clusters_slow,171610.33331187032,63078.426814763254,640,7648.541762854351,True,0.007014043269946532,True
medium-stable_False_greedy_slow,172457.0552062216,63954.63809829725,640,8495.263657205622,True,0.002744885227873811,True
medium-stable_False_greedy_fast,172457.0552062216,63954.63809829725,640,8495.263657205622,True,0.002744885227873811,True
RL_AGENT,173219.13647171008,81815.96990014071,15360,9257.344922694116,True,,
medium-noisy_False_greedy_slow,173753.8982168588,64180.5898079886,640,9792.106667842832,True,0.002091081480249179,True
medium-noisy_False_greedy_fast,173753.8982168588,64180.5898079886,640,9792.106667842832,True,0.002091081480249179,True
high-very_noisy_False_greedy_fast,174271.64630132166,62419.460473902596,640,10309.854752305691,True,0.0005274904923151636,True
high-very_noisy_False_greedy_slow,174271.64630132166,62419.460473902596,640,10309.854752305691,True,0.0005274904923151636,True
medium-noisy_False_clusters_fast,174904.13768711628,67241.50035545375,640,10942.346138100314,True,6.744941777968796e-06,True
medium-noisy_False_clusters_slow,174904.13768711628,67241.50035545375,640,10942.346138100314,True,6.744941777968796e-06,True
max_greedy-noisy_True_greedy_fast,175426.59112125766,63253.64814612737,640,11464.799572241696,True,4.492208605007635e-06,True
max_greedy-noisy_True_greedy_slow,175426.59112125766,63253.64814612737,640,11464.799572241696,True,4.492208605007635e-06,True
high-very_noisy_True_greedy_slow,175518.87191875218,62162.9338941238,640,11557.080369736213,True,4.6621814716367036e-05,True
high-very_noisy_True_greedy_fast,175518.87191875218,62162.9338941238,640,11557.080369736213,True,4.6621814716367036e-05,True
medium-very_noisy_True_clusters_fast,178519.7912841693,73037.84172147987,640,14557.999735153338,True,0.00010515414150127867,True
medium-very_noisy_True_clusters_slow,178519.7912841693,73037.84172147987,640,14557.999735153338,True,0.00010515414150127867,True
medium-stable_True_clusters_fast,185520.03685797597,61351.512426230205,640,21558.245308960002,True,3.640783086918999e-18,True
medium-stable_True_clusters_slow,185520.03685797597,61351.512426230205,640,21558.245308960002,True,3.640783086918999e-18,True
medium-very_noisy_True_greedy_slow,189130.44272670505,79370.34537654983,640,25168.651177689084,True,8.748821527593128e-14,True
medium-very_noisy_True_greedy_fast,189130.44272670505,79370.34537654983,640,25168.651177689084,True,8.748821527593128e-14,True
low-very_noisy_True_greedy_fast,193128.88068704313,66490.25896106871,640,29167.089138027164,True,3.882877989225241e-24,True
low-very_noisy_True_greedy_slow,193128.88068704313,66490.25896106871,640,29167.089138027164,True,3.882877989225241e-24,True
medium-very_noisy_False_greedy_fast,194208.09671505674,75462.02171883572,640,30246.30516604078,True,3.938230554685097e-19,True
medium-very_noisy_False_greedy_slow,194208.09671505674,75462.02171883572,640,30246.30516604078,True,3.938230554685097e-19,True
max_greedy-very_noisy_True_greedy_fast,205010.85001285613,65332.57340075338,640,41049.05846384016,True,2.0693598339015208e-46,True
max_greedy-very_noisy_True_greedy_slow,205010.85001285613,65332.57340075338,640,41049.05846384016,True,2.0693598339015208e-46,True
